"REF_DATE","GEO","DGUID","Labour force characteristics","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-11","Canada","2021A000011124","Employment","Men+","25 years and over","Persons in thousands","428","thousands","3","v2091284","1.3.2.3","9663.5","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","25 years and over","Persons in thousands","428","thousands","3","v2091284","1.3.2.3","9646.0","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","25 years and over","Persons in thousands","428","thousands","3","v2091284","1.3.2.3","9552.4","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","25 years and over","Persons in thousands","428","thousands","3","v2091284","1.3.2.3","9576.5","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","25 years and over","Persons in thousands","428","thousands","3","v2091284","1.3.2.3","9560.6","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","25 to 44 years","Persons in thousands","428","thousands","3","v2091285","1.3.2.4","5154.4","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","25 to 44 years","Persons in thousands","428","thousands","3","v2091285","1.3.2.4","5154.9","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","25 to 44 years","Persons in thousands","428","thousands","3","v2091285","1.3.2.4","5104.7","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","25 to 44 years","Persons in thousands","428","thousands","3","v2091285","1.3.2.4","5124.4","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","25 to 44 years","Persons in thousands","428","thousands","3","v2091285","1.3.2.4","5117.5","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","45 to 64 years","Persons in thousands","428","thousands","3","v19650589","1.3.2.22","3862.3","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","45 to 64 years","Persons in thousands","428","thousands","3","v19650589","1.3.2.22","3824.7","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","45 to 64 years","Persons in thousands","428","thousands","3","v19650589","1.3.2.22","3799.1","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","45 to 64 years","Persons in thousands","428","thousands","3","v19650589","1.3.2.22","3796.3","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","45 to 64 years","Persons in thousands","428","thousands","3","v19650589","1.3.2.22","3789.9","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","45 years and over","Persons in thousands","428","thousands","3","v2091286","1.3.2.5","4509.1","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","45 years and over","Persons in thousands","428","thousands","3","v2091286","1.3.2.5","4491.0","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","45 years and over","Persons in thousands","428","thousands","3","v2091286","1.3.2.5","4447.7","","","","1"
"2025-02","Canada","2021A000011124","Employment","Men+","45 years and over","Persons in thousands","428","thousands","3","v2091286","1.3.2.5","4452.1","","","","1"
"2025-03","Canada","2021A000011124","Employment","Men+","45 years and over","Persons in thousands","428","thousands","3","v2091286","1.3.2.5","4443.2","","","","1"
"2024-11","Canada","2021A000011124","Employment","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v2091287","1.3.2.6","7275.4","","","","1"
"2024-12","Canada","2021A000011124","Employment","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v2091287","1.3.2.6","7255.5","","","","1"
"2025-01","Canada","2021A000011124","Employment","Men+","25 to 54 years","Persons in thousands","428","thousands","3","v2091287","1.3.2.6","7203.0","","","","1"
